is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA3+JA4;0.05;3;4;349;56;0;56;405;0.8617283950617284;0.1382716049382716;2.128395061728395;2.0;3;3;1;208;86;55;0.51;0.21;0.14
True;JA3+JA4;0.05;3;4;356;49;0;56;405;0.8790123456790123;0.12098765432098765;1.5851851851851853;1.0;1;3;1;284;60;12;0.7;0.15;0.03
False;JA3+JA4;0.01;3;4;356;49;0;84;405;0.8790123456790123;0.12098765432098765;2.128395061728395;2.0;3;3;1;234;48;74;0.58;0.12;0.18
True;JA3+JA4;0.01;3;4;356;49;0;84;405;0.8790123456790123;0.12098765432098765;1.5851851851851853;1.0;1;3;1;289;45;22;0.71;0.11;0.05
False;JA4+JA4S+SNI;0.35;3;4;330;75;0;84;405;0.8148148148148148;0.18518518518518517;1.9753086419753085;2.0;1;3;1;227;65;38;0.56;0.16;0.09
True;JA4+JA4S+SNI;0.35;3;4;327;78;0;84;405;0.8074074074074075;0.1925925925925926;1.528395061728395;1.0;1;3;1;283;24;20;0.7;0.06;0.05
False;JA4+JA4S+SNI;0.25;3;4;343;62;0;109;405;0.8469135802469135;0.15308641975308643;2.128395061728395;2.0;3;3;1;235;56;52;0.58;0.14;0.13
True;JA4+JA4S+SNI;0.25;3;4;352;53;0;109;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;293;34;25;0.72;0.08;0.06
False;JA4+JA4S+SNI;0.15;3;4;339;66;0;168;405;0.837037037037037;0.16296296296296298;2.128395061728395;2.0;3;3;1;221;79;39;0.55;0.2;0.1
True;JA4+JA4S+SNI;0.15;3;4;339;66;0;168;405;0.837037037037037;0.16296296296296298;1.5851851851851853;1.0;1;3;1;269;55;15;0.66;0.14;0.04
False;JA4+JA4S;0.35;3;4;291;114;0;38;405;0.7185185185185186;0.2814814814814815;1.782716049382716;2.0;1;3;1;227;40;24;0.56;0.1;0.06
True;JA4+JA4S;0.35;3;4;287;118;0;38;405;0.7086419753086419;0.291358024691358;1.7358024691358025;1.0;1;3;1;250;20;17;0.62;0.05;0.04
False;JA4+JA4S;0.25;3;4;341;64;0;48;405;0.8419753086419753;0.1580246913580247;2.128395061728395;2.0;3;3;1;238;50;53;0.59;0.12;0.13
True;JA4+JA4S;0.25;3;4;352;53;0;48;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;298;35;19;0.74;0.09;0.05
