is_comb;items;pattern_filters;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
True;JA4+JA4S+SNI;len(3)x10;0.01;3;4;352;53;0;98;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;267;66;19;0.66;0.16;0.05
False;JA4+JA4S+SNI;len(3)x5;0.01;3;4;364;41;0;63;405;0.8987654320987655;0.10123456790123457;2.128395061728395;2.0;3;3;1;240;82;42;0.59;0.2;0.1
True;JA4+JA4S+SNI;len(3)x5;0.01;3;4;359;46;0;63;405;0.8864197530864197;0.11358024691358025;1.5851851851851853;1.0;1;3;1;272;54;33;0.67;0.13;0.08
False;JA4+JA4S+SNI;len(1)x5+len(2)x5;0.01;3;4;364;41;0;142;405;0.8987654320987655;0.10123456790123457;2.128395061728395;2.0;3;3;1;259;72;33;0.64;0.18;0.08
True;JA4+JA4S+SNI;len(1)x5+len(2)x5;0.01;3;4;349;56;0;142;405;0.8617283950617284;0.1382716049382716;1.5851851851851853;1.0;1;3;1;295;41;13;0.73;0.1;0.03
False;JA4+JA4S+SNI;len(1)x5+len(3)x5;0.01;3;4;366;39;0;134;405;0.9037037037037037;0.0962962962962963;2.128395061728395;2.0;3;3;1;248;85;33;0.61;0.21;0.08
True;JA4+JA4S+SNI;len(1)x5+len(3)x5;0.01;3;4;350;55;0;134;405;0.8641975308641975;0.13580246913580246;1.5851851851851853;1.0;1;3;1;284;48;18;0.7;0.12;0.04
False;JA4+JA4S+SNI;len(2)x5+len(3)x5;0.01;3;4;360;45;0;134;405;0.8888888888888888;0.1111111111111111;2.128395061728395;2.0;3;3;1;254;76;30;0.63;0.19;0.07
True;JA4+JA4S+SNI;len(2)x5+len(3)x5;0.01;3;4;351;54;0;134;405;0.8666666666666667;0.13333333333333333;1.5851851851851853;1.0;1;3;1;287;45;19;0.71;0.11;0.05
False;JA4+JA4S+SNI;len(1)x5+len(2)x10;0.01;3;4;366;39;0;203;405;0.9037037037037037;0.0962962962962963;2.128395061728395;2.0;3;3;1;276;53;37;0.68;0.13;0.09
True;JA4+JA4S+SNI;len(1)x5+len(2)x10;0.01;3;4;354;51;0;203;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;304;32;18;0.75;0.08;0.04
False;JA4+JA4S+SNI;len(1)x5+len(3)x10;0.01;3;4;368;37;0;169;405;0.908641975308642;0.09135802469135802;2.128395061728395;2.0;3;3;1;235;97;36;0.58;0.24;0.09
True;JA4+JA4S+SNI;len(1)x5+len(3)x10;0.01;3;4;355;50;0;169;405;0.8765432098765432;0.12345679012345678;1.5851851851851853;1.0;1;3;1;275;59;21;0.68;0.15;0.05
False;JA4+JA4S+SNI;len(2)x5+len(3)x10;0.01;3;4;367;38;0;169;405;0.9061728395061729;0.09382716049382717;2.128395061728395;2.0;3;3;1;249;84;34;0.61;0.21;0.08
True;JA4+JA4S+SNI;len(2)x5+len(3)x10;0.01;3;4;351;54;0;169;405;0.8666666666666667;0.13333333333333333;1.5851851851851853;1.0;1;3;1;283;51;17;0.7;0.13;0.04
False;JA4+JA4S+SNI;len(1)x10+len(2)x5+len(2)x5;0.01;3;4;353;52;0;271;405;0.8716049382716049;0.12839506172839507;2.128395061728395;2.0;3;3;1;256;66;31;0.63;0.16;0.08
True;JA4+JA4S+SNI;len(1)x10+len(2)x5+len(2)x5;0.01;3;4;349;56;0;271;405;0.8617283950617284;0.1382716049382716;1.5851851851851853;1.0;1;3;1;291;45;13;0.72;0.11;0.03
